Time	Rain	T2m
2018-03-10	2.7	30.1
2018-03-09	2.7	10.0
2018-03-08	12.1	20.5
2018-03-07	1.2	27.5
2018-03-06	12.2	23.6
2018-03-05	12.3	11.4
2018-03-04	0.5	16.4
2018-03-03	16.4	19.6
2018-03-02	13.0	31.2
2018-03-01	11.3	22.8
2018-02-28	1.1	17.3
2018-02-27	1.9	26.0
2018-02-26	8.1	31.9
2018-02-25	4.3	33.9
2018-02-24	6.0	25.6
2018-02-23	0.9	22.1
2018-02-22	8.1	10.5
2018-02-21	10.3	29.3
2018-02-20	2.6	21.2
2018-02-19	12.7	32.3
2018-02-18	18.8	32.0
2018-02-17	15.3	31.3
2018-02-16	15.5	11.3
2018-02-15	12.8	20.2
2018-02-14	5.8	12.4
2018-02-13	8.7	19.5
2018-02-12	12.7	30.3
2018-02-11	9.1	31.1
2018-02-10	15.7	25.5
2018-02-09	19.3	29.1
2018-02-08	18.0	29.9
2018-02-07	11.2	28.8
2018-02-06	0.6	19.2
2018-02-05	0.3	33.9
2018-02-04	17.2	14.9
2018-02-03	0.6	14.5
2018-02-02	6.6	31.9
2018-02-01	15.9	34.8
2018-01-31	6.1	32.8
2018-01-30	8.0	28.2
2018-01-29	19.2	34.7
2018-01-28	2.4	33.9
2018-01-27	4.7	29.0
2018-01-26	3.5	32.6
2018-01-25	4.6	18.6
2018-01-24	17.4	26.8
2018-01-23	14.9	21.9
2018-01-22	15.8	22.8
2018-01-21	4.8	29.9
2018-01-20	6.2	23.6
2018-01-19	12.6	11.7
2018-01-18	3.1	23.8
2018-01-17	1.9	22.2
2018-01-16	2.6	12.9
2018-01-15	13.5	33.4
2018-01-14	6.0	26.4
2018-01-13	11.1	16.8
2018-01-12	9.8	24.6
2018-01-11	2.8	18.9
2018-01-10	2.8	22.7
2018-01-09	11.8	13.1
2018-01-08	1.1	21.9
2018-01-07	4.1	34.7
2018-01-06	4.1	13.7
2018-01-05	2.2	30.1
2018-01-04	0.9	11.5
2018-01-03	6.2	16.7
2018-01-02	3.0	19.1
2018-01-01	14.2	18.1
